# t	k	i(0)	i(1)	i(2)	o(0)	o(1)	o(2)	i	o
14340.2	3	1	0	2	38	16	16	3	70
14340.2	4	0	0	0	7	3	4	0	14


14370.3	0	31	29	28	95	62	50	88	207
14370.3	1	472	198	182	236	94	95	852	425
14370.3	2	30	11	17	157	64	63	58	284
14370.3	3	2	0	0	40	15	15	2	70
14370.3	4	0	0	0	7	3	4	0	14


14400	0	30	29	27	98	61	48	86	207
14400	1	490	197	169	243	91	91	856	425
14400	2	32	7	17	166	61	57	56	284
14400	3	2	0	0	41	16	13	2	70
14400	4	0	0	0	6	4	4	0	14


14431	0	30	29	25	101	64	42	84	207
14431	1	501	210	149	251	99	75	860	425
14431	2	34	8	12	168	63	53	54	284
14431	3	2	0	0	41	17	12	2	70
14431	4	0	0	0	6	4	4	0	14


14460.2	0	28	29	24	104	61	42	81	207
14460.2	1	514	211	141	252	102	71	866	425
14460.2	2	30	11	10	168	68	48	51	284
14460.2	3	2	0	0	44	16	10	2	70
14460.2	4	0	0	0	6	4	4	0	14


14490	0	28	27	24	101	68	38	79	207
14490	1	514	237	119	256	110	59	870	425
14490	2	29	11	9	168	74	42	49	284
14490	3	2	0	0	42	19	9	2	70
14490	4	0	0	0	6	4	4	0	14


14520.1	0	28	27	24	98	72	37	79	207
14520.1	1	500	241	129	252	115	58	870	425
14520.1	2	32	11	6	166	71	47	49	284
14520.1	3	2	0	0	40	18	12	2	70
14520.1	4	0	0	0	6	3	5	0	14


14550.6	0	29	27	23	92	66	49	79	207
14550.6	1	462	227	181	242	106	77	870	425
14550.6	2	33	10	6	151	69	64	49	284
14550.6	3	2	0	0	37	19	14	2	70
14550.6	4	0	0	0	4	4	6	0	14


14580.2	0	29	26	23	88	60	59	78	207
14580.2	1	449	211	213	234	102	89	873	425
14580.2	2	32	7	7	150	63	71	46	284
14580.2	3	3	0	0	37	15	18	3	70
14580.2	4	0	0	0	4	4	6	0	14


14610.1	0	29	26	22	86	58	63	77	207
14610.1	1	429	206	241	223	102	100	876	425
14610.1	2	30	7	6	142	60	82	43	284
14610.1	3	3	0	1	37	16	17	4	70
14610.1	4	0	0	0	3	3	8	0	14


14640.2	0	29	25	22	84	53	70	76	207
14640.2	1	401	212	264	205	105	115	877	425
14640.2	2	29	7	8	136	66	82	44	284
14640.2	3	3	0	0	35	16	19	3	70
14640.2	4	0	0	0	2	4	8	0	14


14670.7	0	29	25	22	84	57	66	76	207
14670.7	1	389	239	249	201	114	110	877	425
14670.7	2	25	9	10	125	78	81	44	284
14670.7	3	3	0	0	33	20	17	3	70
14670.7	4	0	0	0	3	4	7	0	14


14700.2	0	29	25	23	78	65	64	77	207
14700.2	1	355	287	232	192	131	102	874	425
14700.2	2	23	13	11	107	98	79	47	284
14700.2	3	2	0	0	29	27	14	2	70
14700.2	4	0	0	0	3	4	7	0	14


14730.3	0	29	23	25	64	85	58	77	207
14730.3	1	272	398	203	148	183	94	873	425
14730.3	2	22	11	16	83	127	74	49	284
14730.3	3	1	0	0	25	32	13	1	70
14730.3	4	0	0	0	4	5	5	0	14


14760.4	0	29	23	25	52	96	59	77	207
14760.4	1	213	455	205	115	215	95	873	425
14760.4	2	19	17	13	74	137	73	49	284
14760.4	3	1	0	0	19	40	11	1	70
14760.4	4	0	0	0	2	7	5	0	14


14790	0	29	23	25	46	104	57	77	207
14790	1	186	492	195	103	233	89	873	425
14790	2	20	16	13	69	142	73	49	284
14790	3	1	0	0	17	44	9	1	70
14790	4	0	0	0	1	8	5	0	14


14820.1	0	27	23	24	45	111	51	74	207
14820.1	1	179	521	178	93	244	88	878	425
14820.1	2	19	16	13	68	152	64	48	284
14820.1	3	0	0	0	17	45	8	0	70
14820.1	4	0	0	0	2	8	4	0	14


14850.1	0	26	24	26	49	113	45	76	207
14850.1	1	169	522	185	93	243	90	876	426
14850.1	2	18	17	12	55	154	74	47	283
14850.1	3	0	0	1	15	44	11	1	70
14850.1	4	0	0	0	1	9	4	0	14


14880.1	0	29	24	26	43	107	57	79	207
